catalog_index,catalog_id,material_no,master_category,name,category,thickness_mm,weight_kg_m2,ra_dba,source_ref,r_63_hz,r_125_hz,r_250_hz,r_500_hz,r_1000_hz,r_2000_hz,spectrum_ok,supplier,phone,buildup,cavity_fill,laminate,glass_t1_mm,glass_cavity_mm,glass_t2_mm,rqa_dba,c_dm3_s,dna_dba,height_mm,depth_mm,length_mm,sh_mm,doorlaat_m2_m,source
443,D02101,2101,Elementen,Alcoa RT 62 met begl...,,28.0,0.0,31.8,IFT Rosenheim'98 N...,28.9,23.9,24.0,36.9,42.7,41.9,True,Alcoa,+31(0)4163...,,,,,,,,,,,,,,,catalogusGG.pdf
444,D02102,2102,Elementen,Alcoa RT 62 met begl...,,34.0,0.0,38.3,IFT Rosenheim'98 N...,31.4,29.5,32.8,41.6,43.5,45.3,True,Alcoa,+31(0)4163...,,,,,,,,,,,,,,,catalogusGG.pdf
445,D02103,2103,Elementen,Alcoa RT 72 met begl...,,34.0,0.0,42.6,IFT Rosenheim'98 N...,31.4,35.0,41.5,43.7,45.1,48.7,True,Alcoa,+31(0)4163...,,,,,,,,,,,,,,,catalogusGG.pdf
446,D02104,2104,Elementen,Alcoa RT 72 met begl...,,28.0,0.0,38.8,IFT Rosenheim'98 N...,31.4,29.6,34.0,42.1,43.4,45.7,True,Alcoa,+31(0)4163...,,,,,,,,,,,,,,,catalogusGG.pdf
447,D02105,2105,Elementen,Alcoa RT 72 met begl...,,28.0,0.0,32.8,IFT Rosenheim'98 N...,29.5,24.0,25.7,36.8,42.5,41.7,True,Alcoa,+31(0)4163...,,,,,,,,,,,,,,,catalogusGG.pdf
448,D02106,2106,Elementen,Alcoa RT 72.1 met be...,,28.0,0.0,33.3,IFT Rosenheim'98 N...,30.7,24.6,26.3,36.0,42.2,42.9,True,Alcoa,+31(0)4163...,,,,,,,,,,,,,,,catalogusGG.pdf
449,D02108,2108,Elementen,DHG Silenko geluidw...,,90.0,0.0,32.8,Peutzassocies'01 ra...,21.7,22.1,29.4,36.9,43.3,48.1,True,DHG Nederland BV,3146 474 ...,,,,,,,,,,,,,,,catalogusGG.pdf
450,D02109,2109,Elementen,DHG Silenko geluidw...,,25.0,0.0,31.4,Peutzassocies'01 ra...,24.3,21.7,27.1,31.9,38.0,44.5,True,DHG Nederland BV,3146 474 ...,,,,,,,,,,,,,,,catalogusGG.pdf
451,D02110,2110,Elementen,Jazo Comprophone 5...,,84.0,42.0,34.2,Peutzassocies'93 ra...,28.0,30.9,25.9,36.8,42.2,49.0,True,JAZO Zevenaar,0316 59 29...,,,,,,,,,,,,,,,catalogusGG.pdf
452,D02111,2111,Elementen,Jazo Comprophone 2...,,50.0,42.0,32.8,Peutzassocies'93 ra...,24.8,27.2,28.7,32.1,35.1,40.8,True,JAZO Zevenaar,0316 59 29...,,,,,,,,,,,,,,,catalogusGG.pdf
453,D02112,2112,Elementen,Maars wand Style Lin...,,0.0,17.0,30.9,Peutzassocies'93 ra...,13.4,27.7,42.0,48.1,49.8,50.0,True,Maars Projecten BV,0341 465221,,,,,,,,,,,,,,,catalogusGG.pdf
454,D02113,2113,Elementen,G+H montage geluid...,,56.0,60.0,29.5,Fraunhofer Institut'9...,12.0,26.0,40.0,48.0,50.0,54.0,True,G+H Montage BV,073 6210810,,,,,,,,,,,,,,,catalogusGG.pdf
455,D02256,2256,Elementen,Nevima pannendakco...,,0.0,0.0,19.2,Cauberg-Huygen Ra...,15.2,14.6,12.1,19.0,26.7,25.4,True,Nevima BV,+31 (0) 33 ...,,,,,,,,,,,,,,,catalogusGG.pdf
456,D02257,2257,Elementen,Nevima pannendakco...,,0.0,0.0,48.5,Cauberg-Huygen Ra...,37.7,39.0,42.6,54.6,64.1,66.1,True,Nevima BV,+31 (0) 33 ...,,,,,,,,,,,,,,,catalogusGG.pdf
457,D02263,2263,Elementen,Gyproc MS 100/1.75....,,100.0,0.0,29.0,TNO-rapport DGT-R...,14.6,17.7,35.7,47.2,57.2,51.2,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
458,D02270,2270,Elementen,Gyproc MS 100/2.50....,,100.0,0.0,35.6,TNO-rapport DGT-R...,19.1,27.5,40.4,52.4,60.4,56.5,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
459,D02272,2272,Elementen,Gyproc MS 125/2.75....,,125.0,0.0,33.8,TNO-rapport DGT-R...,16.5,28.7,42.3,51.5,60.0,57.1,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
460,D02276,2276,Elementen,Gyproc MS 125/3.50....,,0.0,0.0,39.1,TNO-rapport DGT-R...,21.7,35.7,44.7,57.8,61.9,59.1,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
461,D02287,2287,Elementen,Gyproc MS 145/2.45*...,,145.0,0.0,34.4,TNO-rapport DGT-R...,17.1,28.5,49.5,60.8,67.5,66.3,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
462,D02289,2289,Elementen,Gyproc MS 155/2.50*...,,155.0,0.0,34.4,TNO-rapport DGT-R...,17.1,29.0,49.6,60.8,67.5,66.3,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
463,D02291,2291,Elementen,Gyproc MS 205/2.75*...,,205.0,0.0,40.5,TNO-rapport DGT-R...,22.8,38.1,51.9,64.6,73.0,74.2,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
464,D02292,2292,Elementen,Gyproc MS 255/2.10...,,0.0,0.0,42.9,TNO-rapport DGT-R...,25.6,37.3,52.1,62.7,69.1,70.1,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
465,D02305,2305,Elementen,Rigidur MS 70 RD/1....,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
466,D02306,2306,Elementen,Rigidur MS 70 RD/1....,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
467,D02307,2307,Elementen,Rigidur MS 75 RD/1....,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
468,D02308,2308,Elementen,Rigidur MS 75 RD/1....,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
469,D02309,2309,Elementen,Rigidur MS 100 RD/1...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
470,D02310,2310,Elementen,Rigidur MS 100 RD/1...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
471,D02311,2311,Elementen,Rigidur MS 125 RD/1...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
472,D02312,2312,Elementen,Rigidur MS 100 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
473,D02313,2313,Elementen,Rigidur MS 100 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
474,D02314,2314,Elementen,Rigidur MS 125 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
475,D02315,2315,Elementen,Rigidur MS 125 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
476,D02316,2316,Elementen,Rigidur MS 150 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
477,D02317,2317,Elementen,Rigidur MS 150 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
478,D02318,2318,Elementen,Rigidur MS 145 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
479,D02319,2319,Elementen,Rigidur MS 145 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
480,D02320,2320,Elementen,Rigidur MS 155 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
481,D02321,2321,Elementen,Rigidur MS 155 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
482,D02322,2322,Elementen,Rigidur MS 205 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
483,D02323,2323,Elementen,Rigidur MS 205 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
484,D02324,2324,Elementen,Rigidur MS 255 RD/2...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
485,D02325,2325,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
486,D02326,2326,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
487,D02327,2327,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
488,D02328,2328,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
489,D02329,2329,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
490,D02330,2330,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
491,D02331,2331,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
492,D02332,2332,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
493,D02333,2333,Elementen,Rigidur ECO-wand M...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
494,D02334,2334,Elementen,Rigidur voorzetwand ...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
495,D02335,2335,Elementen,Rigidur voorzetwand ...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
496,D02336,2336,Elementen,Rigidur voorzetwand ...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
497,D02337,2337,Elementen,Rigidur voorzetwand ...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
498,D02338,2338,Elementen,Rigidur voorzetwand ...,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,BPB Nederland B.V.,0347-325100,,,,,,,,,,,,,,,catalogusGG.pdf
499,D02400,2400,Elementen,geen kier- en naaddic...,,0.0,0.0,25.0,Herziene Rekenmeth...,25.0,25.0,25.0,25.0,25.0,25.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
500,D02401,2401,Elementen,enkele kier- en naadd...,,0.0,0.0,30.0,Herziene Rekenmeth...,30.0,30.0,30.0,30.0,30.0,30.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
501,D02402,2402,Elementen,dubbele kier- en naa...,,0.0,0.0,35.0,Herziene Rekenmeth...,35.0,35.0,35.0,35.0,35.0,35.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
502,D02403,2403,Elementen,speciale kier- en naa...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
503,D02404,2404,Elementen,daken met kierend da...,,0.0,0.0,30.0,Herziene Rekenmeth...,30.0,30.0,30.0,30.0,30.0,30.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
504,D02405,2405,Elementen,daken met kierdicht d...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
505,D02406,2406,Elementen,enkele kier- en naadd...,,0.0,0.0,35.0,Herziene Rekenmeth...,35.0,35.0,35.0,35.0,35.0,35.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
506,D02407,2407,Elementen,dubbele kier- en naa...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
507,D02408,2408,Elementen,speciale kier- en naa...,,0.0,0.0,50.0,Herziene Rekenmeth...,50.0,50.0,50.0,50.0,50.0,50.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
508,D02409,2409,Elementen,enkelschalig dakelem...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
509,D02410,2410,Elementen,overige dakconstructi...,,0.0,0.0,55.0,Herziene Rekenmeth...,55.0,55.0,55.0,55.0,55.0,55.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
510,D02411,2411,Elementen,speciale gevallen wa...,,0.0,0.0,60.0,Herziene Rekenmeth...,60.0,60.0,60.0,60.0,60.0,60.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
511,D02412,2412,Elementen,kozijn-steen: tweezijd...,,0.0,0.0,55.0,Herziene Rekenmeth...,55.0,55.0,55.0,55.0,55.0,55.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
512,D02413,2413,Elementen,kozijn-steen: schuimb...,,0.0,0.0,50.0,Herziene Rekenmeth...,50.0,50.0,50.0,50.0,50.0,50.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
513,D02414,2414,Elementen,kozijn-steen: alleen a...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
514,D02415,2415,Elementen,dakraamkast-dakbes...,,0.0,0.0,25.0,Herziene Rekenmeth...,25.0,25.0,25.0,25.0,25.0,25.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
515,D02416,2416,Elementen,dakraamkast-dakbes...,,0.0,0.0,30.0,Herziene Rekenmeth...,30.0,30.0,30.0,30.0,30.0,30.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
516,D02417,2417,Elementen,dakraamkast-dakbes...,,0.0,0.0,35.0,Herziene Rekenmeth...,35.0,35.0,35.0,35.0,35.0,35.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
517,D02418,2418,Elementen,dakraamkast-dakbes...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
518,D02419,2419,Elementen,suskast-kozijn/raam: ...,,0.0,0.0,50.0,Herziene Rekenmeth...,50.0,50.0,50.0,50.0,50.0,50.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
519,D02420,2420,Elementen,suskast-kozijn/raam: ...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
520,D02421,2421,Elementen,suskast-kozijn/raam: ...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
521,D02422,2422,Elementen,suskast-kozijn/raam: ...,,0.0,0.0,50.0,Herziene Rekenmeth...,50.0,50.0,50.0,50.0,50.0,50.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
522,D02423,2423,Elementen,ramen: niet te openen,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
523,D02424,2424,Elementen,ramen: dubbele dichti...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
524,D02425,2425,Elementen,ramen: dubbele dichti...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
525,D02426,2426,Elementen,ramen: dubbele dichti...,,0.0,0.0,50.0,Herziene Rekenmeth...,50.0,50.0,50.0,50.0,50.0,50.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
526,D02427,2427,Elementen,ramen: enkele dichtin...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
527,D02428,2428,Elementen,ramen: enkele dichtin...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
528,D02429,2429,Elementen,ramen: enkele dichtin...,,0.0,0.0,25.0,Herziene Rekenmeth...,25.0,25.0,25.0,25.0,25.0,25.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
529,D02430,2430,Elementen,ramen: enkele dichtin...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
530,D02431,2431,Elementen,ramen: enkele dichtin...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
531,D02432,2432,Elementen,ramen: enkele dichtin...,,0.0,0.0,35.0,Herziene Rekenmeth...,35.0,35.0,35.0,35.0,35.0,35.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
532,D02433,2433,Elementen,ramen: enkele dichtin...,,0.0,0.0,25.0,Herziene Rekenmeth...,25.0,25.0,25.0,25.0,25.0,25.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
533,D02434,2434,Elementen,"ramen: geen dichting,...",,0.0,0.0,20.0,Herziene Rekenmeth...,20.0,20.0,20.0,20.0,20.0,20.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
534,D02435,2435,Elementen,"ramen: geen dichting,...",,0.0,0.0,25.0,Herziene Rekenmeth...,25.0,25.0,25.0,25.0,25.0,25.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
535,D02436,2436,Elementen,deuren: tochtband en...,,0.0,0.0,25.0,Herziene Rekenmeth...,25.0,25.0,25.0,25.0,25.0,25.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
536,D02437,2437,Elementen,deuren: tochtband en...,,0.0,0.0,30.0,Herziene Rekenmeth...,30.0,30.0,30.0,30.0,30.0,30.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
537,D02438,2438,Elementen,deuren: enkele aansl...,,0.0,0.0,35.0,Herziene Rekenmeth...,35.0,35.0,35.0,35.0,35.0,35.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
538,D02439,2439,Elementen,deuren: enkele aansl...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
539,D02440,2440,Elementen,deuren: dubbele aan...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
540,D02441,2441,Elementen,dakramen: raam-op-k...,,0.0,0.0,30.0,Herziene Rekenmeth...,30.0,30.0,30.0,30.0,30.0,30.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
541,D02442,2442,Elementen,dakramen: raam-op-k...,,0.0,0.0,35.0,Herziene Rekenmeth...,35.0,35.0,35.0,35.0,35.0,35.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
542,D02443,2443,Elementen,dakramen: raam-in-k...,,0.0,0.0,40.0,Herziene Rekenmeth...,40.0,40.0,40.0,40.0,40.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
543,D02444,2444,Elementen,dakramen: raam-in-k...,,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
544,D02445,2445,Elementen,dakramen: drievoudig...,,0.0,0.0,50.0,Herziene Rekenmeth...,50.0,50.0,50.0,50.0,50.0,50.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
545,D02446,2446,Elementen,dakramen: drievoudig...,,0.0,0.0,55.0,Herziene Rekenmeth...,55.0,55.0,55.0,55.0,55.0,55.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
546,D02447,2447,Elementen,"gesloten beglaasd, dr...",,0.0,0.0,55.0,Herziene Rekenmeth...,55.0,55.0,55.0,55.0,55.0,55.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
547,D02448,2448,Elementen,"droog beglaasd, ban...",,0.0,0.0,50.0,Herziene Rekenmeth...,50.0,50.0,50.0,50.0,50.0,50.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
548,D02449,2449,Elementen,"droog beglaasd, ban...",,0.0,0.0,45.0,Herziene Rekenmeth...,45.0,45.0,45.0,45.0,45.0,45.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
549,D02450,2450,Elementen,Geen dichting [3],,0.0,999.0,19.2,Geluidwering Grote ...,19.0,19.0,23.0,24.0,19.0,17.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
550,D02451,2451,Elementen,"V-profiel, indrukking ...",,0.0,999.0,24.2,Geluidwering Grote ...,24.0,24.0,28.0,29.0,24.0,22.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
551,D02452,2452,Elementen,"O-profiel, indrukking ...",,0.0,999.0,29.4,Geluidwering Grote ...,35.0,35.0,36.0,34.0,28.0,28.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
552,D02453,2453,Elementen,"V-profiel, indrukking ...",,0.0,999.0,34.4,Geluidwering Grote ...,39.0,39.0,41.0,40.0,33.0,33.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
553,D02454,2454,Elementen,"O-profiel, indrukking ...",,0.0,999.0,39.5,Geluidwering Grote ...,41.0,41.0,44.0,44.0,38.0,39.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
554,D02455,2455,Elementen,"dubbele dichting, indr...",,0.0,999.0,44.9,Geluidwering Grote ...,41.0,41.0,45.0,46.0,44.0,48.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
555,D02456,2456,Elementen,alleen naad [3],,0.0,999.0,44.2,Geluidwering Grote ...,35.0,35.0,40.0,45.0,50.0,60.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
556,D02457,2457,Elementen,band+lat [3],,0.0,999.0,48.6,Geluidwering Grote ...,37.0,37.0,48.0,56.0,60.0,65.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
557,D02458,2458,Elementen,eenzijdig gekit [3],,0.0,999.0,54.6,Geluidwering Grote ...,45.0,45.0,50.0,60.0,60.0,65.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
558,D02459,2459,Elementen,"lat, tweezijdig gekit [3]",,0.0,999.0,59.6,Geluidwering Grote ...,50.0,50.0,55.0,65.0,65.0,70.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
559,D02460,2460,Elementen,kroonband: los [3],,0.0,999.0,31.3,Geluidwering Grote ...,29.0,29.0,34.0,35.0,31.0,30.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
560,D02461,2461,Elementen,alleen lat [3],,0.0,999.0,44.2,Geluidwering Grote ...,35.0,35.0,40.0,45.0,50.0,60.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
561,D02462,2462,Elementen,lipprofiel bij kunststof ...,,0.0,999.0,44.3,Geluidwering Grote ...,34.0,34.0,41.0,46.0,54.0,60.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
562,D02463,2463,Elementen,lipprofiel bij kunststof ...,,0.0,999.0,44.9,Geluidwering Grote ...,36.0,36.0,41.0,44.0,53.0,61.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
563,D02464,2464,Elementen,kroonband 0 N/m [3],,0.0,999.0,44.3,Geluidwering Grote ...,32.0,32.0,50.0,57.0,60.0,65.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
564,D02465,2465,Elementen,lipprofiel in houten ra...,,0.0,999.0,47.9,Geluidwering Grote ...,38.0,38.0,45.0,59.0,51.0,55.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
565,D02466,2466,Elementen,kroonband+plakband ...,,0.0,999.0,48.0,Geluidwering Grote ...,36.0,36.0,50.0,59.0,60.0,60.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
566,D02467,2467,Elementen,kroonband 200 N/m [3],,0.0,999.0,48.6,Geluidwering Grote ...,37.0,37.0,48.0,56.0,60.0,65.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
